video_id,track_id,class_name,true_label,suggested_label,label_source,first_frame,last_frame,num_frames,evidence,notes
IMG_4972,bicycle_1,bicycle,,approaching,manual_review_needed,9,14,6,bicycle_1 classified as approaching because bbox grew by 11.42 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=17.26.,
IMG_4972,motorcycle_1,motorcycle,,uncertain,manual_review_needed,7,8,2,"motorcycle_1 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=20.88) but direction is not trustworthy.",
IMG_4972,motorcycle_2,motorcycle,,uncertain,manual_review_needed,7,7,1,"motorcycle_2 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=23.38) but direction is not trustworthy.",
IMG_4972,person_1,person,,approaching,manual_review_needed,0,14,15,person_1 classified as approaching because bbox grew by 21.98 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=14.50.,
IMG_4972,person_2,person,,approaching,manual_review_needed,1,17,17,person_2 classified as approaching because bbox grew by 0.79 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=17.77.,
IMG_4972,person_3,person,,uncertain,manual_review_needed,14,17,2,"person_3 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=20.58) but direction is not trustworthy.",
IMG_4972,skateboard_1,skateboard,,uncertain,manual_review_needed,9,10,2,"skateboard_1 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=14.16) but direction is not trustworthy.",
IMG_4973,bicycle_1,bicycle,,uncertain,manual_review_needed,27,27,1,"bicycle_1 classified as uncertain (short_track) because track is only 1 frame long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=11.17) but direction is not trustworthy.",
IMG_4973,person_1,person,,static,manual_review_needed,0,0,1,"person_1 classified as static because low motion (disp_norm=0.000, flow_mag=0.00, frame_diff_overlap=0.00).",
IMG_4973,person_2,person,,uncertain,manual_review_needed,0,9,9,"person_2 classified as uncertain (low_signal) because motion was detected (flow_mag=14.38, frame_diff_overlap=0.45) but no rule fired: growth_ratio=0.11, dx_norm=-0.02, approach_score=0.62.",
IMG_4973,person_3,person,,approaching,manual_review_needed,7,28,20,person_3 classified as approaching because bbox grew by 31.91 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=13.77.,
IMG_4973,person_4,person,,approaching,manual_review_needed,14,28,11,person_4 classified as approaching because bbox grew by 2.27 and approach_score=0.75; flow_mag=13.12.,
IMG_4973,person_5,person,,moving_away,manual_review_needed,23,27,5,person_5 classified as moving_away because bbox shrank: growth_ratio=-0.23 below -0.15.,
IMG_4974,person_1,person,,approaching,manual_review_needed,0,7,8,person_1 classified as approaching because bbox grew by 1.80 and approach_score=0.75; flow_mag=18.17.,
IMG_4974,person_2,person,,approaching,manual_review_needed,0,8,8,person_2 classified as approaching because bbox grew by 1.93 and approach_score=0.75; flow_mag=19.33.,
IMG_4974,person_3,person,,approaching,manual_review_needed,0,15,16,person_3 classified as approaching because bbox grew by 2.67 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=12.62.,
IMG_4974,person_4,person,,approaching,manual_review_needed,0,15,15,person_4 classified as approaching because bbox grew by 1.32 and approach_score=0.75; flow_mag=13.22.,
IMG_4975,bicycle_1,bicycle,,approaching,manual_review_needed,10,15,6,bicycle_1 classified as approaching because bbox grew by 12.10 and approach_score=1.00; centroid moved toward image center / lower half; flow_mag=14.59.,
IMG_4975,bicycle_2,bicycle,,uncertain,manual_review_needed,15,16,2,"bicycle_2 classified as uncertain (short_track) because track is only 2 frames long (min=3), so trajectory and bbox-growth cues are unreliable; motion was detected (flow_mag=18.94) but direction is not trustworthy.",
IMG_4975,person_1,person,,approaching,manual_review_needed,0,19,20,person_1 classified as approaching because bbox grew by 5.89 and approach_score=0.75; flow_mag=10.70.,
